,elapsed_time_seconds,distance_meters,elev_high_meters,elev_low_meters,average_heartrate,sport_type
141,2022,4554.0,35.2,30.4,99.1,Run
142,2639,9010.0,34.2,24.8,140.8,Run
143,2735,7354.0,41.6,26.2,,Run
144,1573,2577.0,33.4,28.2,,Run
145,3101,10069.0,54.0,22.8,,Run
146,4500,14700.0,,,,Run
147,4225,9670.0,33.8,20.4,,Run
148,6515,17348.0,53.6,29.6,141.0,Run
149,3763,9208.0,38.0,23.2,,Run
150,9105,16192.0,59.8,29.2,142.1,Run
151,4064,10503.0,51.8,35.4,,Run
152,4495,12941.0,127.4,32.2,,TrailRun
153,4634,9651.0,62.2,29.6,134.1,Run
154,6191,17236.0,51.0,26.6,156.3,Run
155,3123,10080.0,71.4,41.4,,Run
156,3826,11029.0,48.8,35.0,,Run
157,1746,5438.0,54.6,41.8,133.6,Run
158,3239,9354.0,48.4,37.2,136.9,Run
159,4593,10052.0,59.4,21.4,,Run
160,5158,15449.0,62.4,23.0,132.0,TrailRun
161,4214,14491.0,37.4,2.4,149.2,Run
162,2863,9258.0,68.2,43.8,,Run
163,4031,8223.0,58.4,33.4,,Run
164,3908,12410.0,49.2,-8.6,140.8,Run
165,4272,10552.0,123.2,29.8,134.0,Run
166,6618,14397.0,47.2,-6.6,144.7,Run
167,3308,9953.0,38.6,27.8,141.2,Run
168,3758,10676.0,113.2,32.2,135.7,Run
169,3320,10309.0,43.2,29.4,149.1,Run
170,2087,5607.0,201.8,121.4,132.4,Run
171,7423,27769.0,177.6,29.4,169.9,TrailRun
172,1176,2450.0,136.4,119.2,142.2,Run
173,2196,7010.0,46.0,29.8,133.9,Run
174,2720,9117.0,39.0,28.2,138.8,Run
175,3171,8424.0,36.6,-5.0,140.2,Run
176,3881,11403.0,34.6,-1.4,133.5,Run
177,5718,16542.0,7.2,-2.8,138.0,Run
178,2700,7500.0,0.0,0.0,,Run
179,3376,8742.0,8.2,-1.6,131.5,Run
180,6176,21516.0,14.8,2.2,151.1,Run
181,3515,10936.0,51.0,-8.4,142.8,Run
182,6236,17305.0,56.0,-12.4,129.9,Run
183,3487,6663.0,45.8,31.8,121.9,Run
184,4288,13108.0,51.8,0.2,150.8,Run
185,3319,9796.0,258.8,171.6,131.3,Run
186,2425,7199.0,173.6,163.2,129.2,Run
187,2990,9514.0,187.2,165.8,137.3,Run
188,6505,20019.0,179.8,165.0,159.2,Run
189,2355,5850.0,173.6,144.0,132.2,Run
190,3000,11500.0,,,,Run
191,2761,8359.0,137.4,-5.2,134.5,TrailRun
192,3103,9545.0,184.0,162.2,134.5,Run
193,5542,15219.0,517.6,351.6,143.4,Run
194,4292,13586.0,178.2,165.0,148.0,Run
195,3466,9136.0,60.8,32.6,131.9,Run
196,3560,11076.0,73.4,-39.0,146.6,Run
197,5043,15115.0,303.4,159.4,139.9,Run
198,2705,7984.0,182.2,168.8,128.7,Run
199,4227,12747.0,42.6,37.8,147.7,Run
200,1461,4405.0,41.4,8.8,126.2,Run
201,3289,9962.0,185.6,172.0,136.7,Run
202,4778,12887.0,177.4,163.6,131.9,Run
203,2922,8104.0,333.2,257.8,137.8,TrailRun
204,1769,5490.0,315.4,244.4,133.5,Run
205,2962,9517.0,41.2,32.8,151.9,Run
206,3256,8715.0,173.0,164.6,130.0,Run
207,1519,4568.0,138.4,-20.8,154.8,Run
208,7071,8429.0,844.8,141.2,130.4,TrailRun
209,2879,8792.0,34.0,22.4,142.2,Run
210,1615,2090.0,174.8,27.6,111.5,TrailRun
211,1646,4442.0,23.0,5.4,117.9,Run
212,3336,12362.0,155.8,57.9,176.9,TrailRun
213,2159,4553.0,46.8,10.4,131.6,Run
214,1664,4492.0,120.2,16.0,124.1,Run
215,3438,9695.0,32.4,20.4,134.3,Run
216,3221,8647.0,131.8,24.4,125.5,Run
217,5353,8253.0,774.8,136.6,125.9,TrailRun
218,3158,8111.0,100.8,19.8,134.7,Run
219,2435,7156.0,173.2,163.8,127.7,Run
220,2296,8501.0,179.0,166.0,159.2,Run
221,2827,7641.0,175.8,164.2,126.9,Run
222,2539,7651.0,65.8,43.4,127.2,Run
223,19845,42864.0,2011.0,343.8,161.2,TrailRun
224,2144,6510.0,180.0,168.6,131.0,Run
225,3937,11294.0,134.4,38.8,139.8,TrailRun
226,2748,8238.0,185.6,149.0,124.0,Run
227,19920,27023.0,3099.6,1726.6,133.1,TrailRun
228,15046,12532.0,2185.6,1471.8,106.0,TrailRun
229,6643,14205.0,2222.8,1464.0,151.4,TrailRun
230,5273,11014.0,1935.4,1464.6,130.6,TrailRun
231,10778,25935.0,605.0,244.8,136.8,TrailRun
232,5702,14425.0,46.0,29.2,135.8,Run
233,3080,9611.0,13.6,0.8,141.9,Run
234,10161,27740.0,11.2,0.0,136.4,Run
235,5316,17575.0,6.4,-4.2,159.4,Run
236,21976,51189.0,2430.4,1253.0,158.7,TrailRun
237,2954,6608.0,46.8,10.0,120.5,Run
238,5247,18682.0,185.8,171.0,152.5,Run
239,7136,16714.0,359.4,256.6,128.0,TrailRun
240,8565,18094.0,261.6,7.4,148.2,TrailRun
241,9128,26552.0,1352.2,327.6,169.2,TrailRun
242,9171,21767.0,302.0,165.0,131.4,TrailRun
243,6183,23552.0,186.0,168.4,156.8,Run
244,5450,15505.0,137.2,37.6,140.5,TrailRun
245,3985,11687.0,38.8,34.4,146.2,Run
246,3269,11291.0,58.8,39.6,147.9,Run
247,2072,5854.0,177.4,165.4,125.6,Run
248,3656,11511.0,172.6,163.2,143.3,Run
249,3728,8474.0,181.2,169.4,138.1,Run
250,3553,10637.0,307.6,178.0,151.9,TrailRun
251,5850,14539.0,307.2,170.2,140.7,TrailRun
252,11404,24827.0,469.6,170.0,137.6,TrailRun
253,3079,9476.0,72.2,53.8,136.0,Run
254,8250,20051.0,295.2,168.4,132.0,TrailRun
255,1026,2007.0,168.6,157.6,131.0,Run
256,3059,9574.0,39.0,28.6,147.3,Run
257,3594,10237.0,131.6,53.8,141.8,TrailRun
258,2580,8357.0,185.2,163.0,138.3,Run
259,1911,5731.0,180.6,165.8,129.0,Run
260,1855,5105.0,68.0,58.8,121.7,Run
261,10661,42445.0,482.0,450.4,168.5,Run
262,1760,3570.0,457.0,453.2,134.4,Run
263,1543,5230.0,541.6,509.4,149.6,Run
264,3479,11199.0,177.8,164.6,149.4,Run
265,4204,15294.0,56.4,30.2,151.8,Run
266,3172,11247.0,59.2,38.6,147.1,Run
267,2151,7690.0,33.6,29.6,150.3,Run
268,4954,17258.0,53.2,31.6,143.0,Run
269,3024,10294.0,176.8,160.0,145.0,Run
270,3859,13202.0,180.8,165.6,148.7,Run
271,2753,9749.0,32.2,23.4,129.3,Run
272,5123,18347.0,45.6,32.6,155.8,Run
273,2930,10524.0,39.0,28.2,150.2,Run
274,3221,10116.0,21.8,14.4,149.0,Run
275,2400,6757.0,176.6,157.4,136.0,Run
276,7357,26227.0,298.8,162.6,166.7,TrailRun
277,1448,4064.0,179.4,170.6,133.4,Run
278,1965,6291.0,185.8,173.4,133.7,Run
279,3197,11322.0,60.8,48.6,150.2,Run
280,5932,22540.0,41.4,27.2,156.9,Run
281,3197,10447.0,45.2,29.0,139.5,Run
282,5499,11897.0,181.0,169.0,143.9,Run
283,9414,23648.0,306.0,173.4,137.9,TrailRun
284,6819,23818.0,184.4,169.0,152.8,Run
285,3226,9856.0,199.2,178.0,140.6,Run
286,4093,15186.0,46.8,38.6,153.9,Run
287,2662,8074.0,154.2,77.2,132.6,TrailRun
288,2977,10935.0,44.8,33.2,149.5,Run
289,3604,11535.4,1251.5,1068.6,,Run
290,2743,7453.3,1298.5,1196.3,,Run
291,3793,14703.0,187.8,172.0,156.3,Run
292,3496,12044.0,81.6,47.4,145.0,Run
293,7902,6157.0,116.8,77.4,121.3,Run
294,3284,11311.0,182.4,167.4,139.8,Run
295,1594,6631.0,26.4,-2.0,165.1,Run
296,4290,13766.0,24.2,1.2,142.7,Run
297,5020,10061.0,219.2,9.8,130.3,Run
298,3036,7997.0,263.2,165.0,133.3,Run
299,3221,11796.0,43.0,27.6,159.4,Run
300,3311,11496.0,37.6,21.2,151.4,Run
301,2844,9679.0,37.2,23.6,147.1,Run
302,6577,22017.0,183.4,166.0,145.3,Run
303,3398,11362.0,177.4,164.4,148.5,Run
304,4363,13312.0,295.0,154.8,146.6,Run
305,3197,10258.0,296.4,166.2,150.7,Run
306,3065,10237.0,32.6,25.6,160.3,Run
307,4540,16617.0,86.0,51.8,149.2,Run
308,5422,15793.0,367.4,262.6,145.4,TrailRun
309,2565,10276.0,257.8,183.4,147.7,Run
310,4188,15298.0,35.8,30.2,156.5,Run
311,2414,8359.0,48.6,36.4,146.4,Run
312,3246,10777.0,175.4,161.4,150.4,Run
313,2979,9561.0,183.2,166.4,140.0,Run
314,3178,6764.0,1720.8,1564.8,134.4,TrailRun
315,986,1895.0,1619.8,1560.2,154.0,TrailRun
316,2986,6365.0,1706.0,1564.4,135.7,TrailRun
317,1269,4183.0,78.8,40.4,142.2,Run
318,3418,10809.0,136.0,37.6,140.7,Run
319,2118,10185.0,78.8,58.4,179.0,Run
320,1343,3626.0,80.6,63.0,139.4,Run
321,1675,4246.7,57.1,45.7,,Run
322,3600,12000.0,0.0,0.0,,Run
323,2898,9105.0,174.6,157.6,144.4,Run
324,3296,9902.0,182.6,170.2,130.4,Run
325,4627,17727.0,35.6,28.0,157.2,Run
326,2853,9369.0,105.4,87.2,152.1,Run
327,4143,13288.0,175.0,161.8,155.6,Run
328,3908,15101.0,182.2,163.8,157.9,Run
329,3458,10057.0,172.2,160.4,130.3,Run
330,4495,17335.0,186.8,175.4,161.2,Run
331,2827,9224.0,186.6,170.0,143.0,Run
332,3293,11995.0,46.8,35.6,156.8,Run
333,3178,11334.0,29.4,25.4,154.2,Run
334,3391,8950.0,180.2,161.2,131.7,Run
335,3400,11858.0,180.0,168.2,148.7,Run
336,3209,12136.0,31.8,24.2,158.7,Run
337,1330,4410.0,31.6,17.4,140.2,Run
338,3339,9534.0,24.6,9.8,147.5,Run
339,2794,9476.0,185.6,166.2,147.7,Run
340,5377,14628.0,177.6,161.4,136.1,Run
341,4117,12744.0,186.2,166.8,152.9,Run
342,2390,7914.0,52.6,36.6,145.3,Run
343,3432,9952.0,33.0,20.0,157.6,Run
344,3429,12736.0,210.4,156.2,153.7,Run
345,3383,9531.0,334.2,260.4,138.1,TrailRun
346,3401,10185.0,279.0,227.6,139.7,Run
347,3471,13008.0,311.2,304.2,153.3,Run
348,4174,11780.0,320.4,295.0,150.3,Run
349,2241,7072.0,322.6,300.4,136.9,Run
350,3293,10233.0,382.8,289.4,144.9,TrailRun
351,4015,12801.0,188.8,167.6,146.5,Run
352,3495,10303.0,173.6,157.6,149.2,Run
353,2520,7996.0,52.4,35.8,152.7,Run
354,6275,19696.0,143.2,30.6,147.9,TrailRun
355,5122,11984.0,59.0,28.4,131.7,Run
356,3206,10803.0,42.6,33.2,153.6,Run
357,3466,12497.0,41.4,26.0,157.0,Run
358,3219,11111.0,76.8,50.2,147.3,Run
359,3490,10570.0,179.0,162.6,153.3,Run
360,3588,10669.0,170.2,153.0,135.2,Run
361,2555,7591.0,286.2,153.4,148.1,TrailRun
362,4287,12378.0,173.8,158.0,154.0,Run
363,3252,10079.0,300.8,159.8,147.9,Run
364,3358,10531.0,40.6,34.0,160.3,Run
365,3440,10349.0,58.2,39.4,152.2,Run
366,4689,12495.0,388.6,260.2,142.5,Run
367,2198,6342.0,342.4,269.8,157.1,Run
368,2546,7776.0,282.0,230.6,159.5,Run
369,3766,10749.0,42.6,30.8,144.4,Run
370,2638,8141.0,91.6,66.6,131.0,Run
371,2719,9620.0,76.6,24.2,162.5,Run
372,2036,5995.0,96.8,59.6,149.9,Run
373,1740,5336.0,80.0,54.8,136.7,Run
374,4835,15074.0,137.6,55.8,147.6,Run
375,2402,8040.0,51.0,35.4,153.2,Run
376,1273,4053.0,97.0,52.6,143.4,Run
377,1156,3367.0,45.2,12.2,127.9,Run
378,1547,5360.0,182.8,167.4,157.0,Run
379,5573,15266.0,247.8,156.8,141.2,Run
380,3331,11311.0,176.8,162.8,154.1,Run
381,2005,6634.0,127.0,57.2,154.6,Run
382,3495,11673.0,48.8,36.2,158.7,Run
383,1053,3759.0,34.6,29.0,147.3,Run
384,2355,8218.0,44.4,22.4,154.8,Run
385,3000,10000.0,0.0,0.0,,Run
386,1952,6214.0,132.6,54.2,148.1,Run
387,3813,10321.0,202.6,175.4,152.5,Run
388,2075,6669.0,141.4,64.4,,Run
389,1830,5950.0,40.8,29.2,,Run
390,2321,7617.0,93.0,67.0,,Run
391,2187,7145.0,348.4,255.2,,Run
392,54386,100625.0,1350.6,353.8,,TrailRun
393,2123,6719.0,43.6,35.6,,Run
394,4987,12498.0,73.2,44.4,,Run
395,3607,13511.0,53.0,26.4,,Run
396,1687,6191.0,45.8,28.0,,Run
397,15778,30067.0,1222.8,466.2,,TrailRun
398,3229,11194.0,289.8,245.0,,Run
399,3095,9072.0,561.0,412.6,,Run
400,10772,32033.0,374.0,262.6,,TrailRun
401,12231,28567.0,1420.6,365.4,,TrailRun
402,2934,8560.0,334.4,269.6,,TrailRun
403,944,2880.0,286.8,242.8,,Run
404,10000,23416.0,1189.8,567.4,,TrailRun
405,6063,15590.0,346.6,246.4,,TrailRun
406,3882,12199.0,340.8,264.2,,TrailRun
407,2137,6881.0,39.8,28.4,,Run
408,1600,4637.0,46.0,33.4,,Run
409,1547,4420.0,36.4,26.2,,Run
410,6478,19038.0,132.2,30.8,,Run
411,7278,22099.0,10.0,-1.8,,TrailRun
412,3767,11463.0,12.6,0.8,,TrailRun
413,3532,12337.0,13.0,-1.2,,TrailRun
414,1058,3512.0,91.0,47.6,,Run
415,3588,11027.0,103.2,40.6,,Run
416,2810,8693.0,96.8,48.4,,Run
417,1483,5450.0,89.8,58.2,,Run
418,3012,10447.2,61.3,32.8,,Run
419,2715,8296.0,97.6,58.8,,Run
420,4624,11842.0,2190.2,1459.6,,TrailRun
421,2138,6823.0,1664.4,1459.5,,TrailRun
422,2783,7087.0,1516.4,1459.7,,TrailRun
423,6091,10640.0,2129.8,1460.9,,TrailRun
424,22335,40053.0,2571.2,1183.8,,TrailRun
425,2271,6261.0,1511.2,1458.4,,Run
426,2407,8761.0,85.6,56.2,,Run
427,2823,8568.0,44.0,22.4,,Run
428,14226,17303.0,1428.6,428.8,,TrailRun
429,3221,7100.0,105.0,45.0,,Run
430,2560,7045.0,104.6,59.8,,Run
431,3740,13024.0,94.6,54.0,,Run
432,3341,9760.0,126.6,57.8,,Run
433,2620,8276.0,93.4,21.2,,Run
434,3701,13091.0,17.2,0.0,,Run
435,2248,7030.0,97.6,65.8,,Run
436,2417,6732.0,98.2,64.0,,Run
437,3389,11192.0,41.0,33.4,,Run
438,6012,15471.0,202.2,11.2,,TrailRun
439,3400,10057.0,171.4,9.2,,Run
440,1557,4010.0,74.0,6.8,,TrailRun
441,4340,12703.0,169.8,9.6,,Run
442,969,3372.0,69.6,3.2,,Run
443,2024,5644.0,28.0,15.6,,Run
444,1723,5719.0,28.0,17.2,,Run
445,2003,7139.0,29.0,11.4,,Run
446,4383,11138.0,21.4,6.6,,Run
447,1619,4649.0,236.2,202.4,,Run
448,2752,10413.0,91.4,41.0,,Run
449,2588,7848.0,49.0,25.6,,Run
450,233,781.0,83.8,58.8,,Run
451,4794,10305.0,132.6,67.4,,Run
452,1389,4410.0,89.0,53.6,,Run
453,1560,5000.0,,,,Run
454,9203,19810.0,1639.4,785.2,,TrailRun
455,3744,10933.0,103.2,46.8,,Run
456,1553,3187.0,13.2,1.0,,Run
457,2188,6673.0,12.0,1.4,,TrailRun
458,2221,7246.0,12.8,0.2,,TrailRun
459,2320,6277.0,54.4,35.4,,Run
460,1972,6548.0,112.2,78.6,,Run
461,2232,6632.0,101.8,58.0,,Run
462,2071,5443.0,98.4,54.8,,Run
463,1992,5624.0,13.4,0.0,,TrailRun
464,2711,6317.0,9.0,-0.6,,TrailRun
465,2658,5832.0,10.2,-13.0,,TrailRun
466,1723,4529.0,12.6,1.4,,TrailRun
467,3972,6540.0,50.2,3.8,,TrailRun
468,1894,3648.0,6.2,-3.0,,TrailRun
469,3035,9652.0,4.8,-8.2,,TrailRun
470,1601,4500.0,12.6,-4.6,,Run
471,2526,6630.0,13.6,0.4,,Run
472,2584,7437.0,11.8,0.8,,Run
473,1680,5000.0,,,,Run
474,2804,6645.0,14.2,-0.4,,Run
475,4627,11473.0,10.0,-2.0,,Run
476,1505,4430.0,93.4,46.2,,Run
477,2461,7395.0,94.8,40.8,,Run
478,2239,6419.4,54.3,36.5,,Run
479,598,2309.0,920.6,771.8,,TrailRun
480,3113,6653.0,1237.4,915.4,,TrailRun
481,3475,8879.0,1500.2,917.6,,TrailRun
482,1200,5000.0,,,,TrailRun
483,733,2569.0,933.6,815.2,,TrailRun
484,6469,12354.0,1630.2,929.4,,TrailRun
485,2844,5270.0,1124.4,778.0,,TrailRun
486,3720,7077.0,1101.4,586.2,,TrailRun
487,1451,5003.0,560.6,508.4,,TrailRun
488,2021,4441.0,758.6,573.6,,TrailRun
489,2985,8789.0,911.4,552.4,,TrailRun
490,2929,6120.0,1524.4,1305.8,,TrailRun
491,404,815.0,533.0,528.0,,TrailRun
492,935,2461.0,1181.6,989.6,,TrailRun
493,1886,1905.0,1249.6,797.8,,TrailRun
494,2335,5035.0,771.6,407.2,,TrailRun
495,3809,10095.0,781.4,364.8,,TrailRun
496,2868,6330.0,845.4,419.6,,TrailRun
497,6991,13038.0,1442.4,596.4,,TrailRun
498,5379,13349.0,131.2,50.8,,Run
499,1145,5202.0,164.4,154.4,,Run
500,1284,2206.0,131.0,125.0,,Run
501,1651,5190.5,164.9,158.6,,TrailRun
502,3216,9015.4,164.7,95.4,,TrailRun
503,2332,7105.0,136.0,62.0,,TrailRun
504,2503,6634.0,147.8,73.4,,TrailRun
505,1757,5136.0,162.4,88.6,,TrailRun
506,1892,4451.0,335.2,268.0,,Run
507,2070,5543.0,335.6,266.6,,Run
508,1448,3892.0,169.4,164.4,,TrailRun
509,2750,8429.0,45.0,36.8,,Run
510,1475,4580.0,163.0,155.8,,TrailRun
511,2685,7220.0,40.6,31.2,,Run
512,1442,4011.0,162.4,154.6,,Run
513,818,2336.0,126.0,123.0,,Run
514,1128,3465.0,158.2,145.8,,Run
515,30177,81886.0,188.0,25.2,,TrailRun
516,3134,9514.0,41.0,29.0,,Run
517,2633,8154.0,160.8,150.4,,Run
518,3749,11112.0,164.6,90.8,,TrailRun
519,3423,11870.0,165.2,147.2,,TrailRun
